company,open,High,Low,close,change,Trades,Volume,Date
NESTLE,1400.0,--,--,1400.0,,32,"39,295",2021-11-03
NESTLE,1400.0,--,--,1400.0,,25,"30,020",2021-11-04
NESTLE,1400.0,--,--,1400.0,,39,"8,673",2021-11-05
NESTLE,1400.0,--,--,1400.0,,34,"37,393",2021-11-08
NESTLE,1400.0,--,--,1400.0,,26,"6,220",2021-11-09
NESTLE,1400.0,1400.00,1400.00,1400.0,0.0,55,"324,824",2021-11-10
NESTLE,1400.0,--,--,1400.0,,42,"92,552",2021-11-11
NESTLE,1400.0,--,--,1400.0,,42,"64,656",2021-11-12
NESTLE,1400.0,--,--,1400.0,,38,"223,770",2021-11-15
NESTLE,1400,1410.00,1390.00,1390.00,-10,55,"4,053,230",2021-11-16
NGXGROUP,17.75,19.50,19.00,19.5,1.75,481,"19,000,933",2021-10-18
NGXGROUP,19.5,21.45,20.00,21.45,1.95,397,"18,223,664",2021-10-20
NGXGROUP,21.45,23.55,23.40,23.55,2.1,184,"8,189,256",2021-10-21
NGXGROUP,25.9,25.90,22.00,22.0,-1.55,735,"29,873,043",2021-10-22
NGXGROUP,22.0,21.00,20.60,20.6,-1.4,248,"9,130,621",2021-10-25
NGXGROUP,20.6,20.40,19.65,19.65,-0.95,218,"8,007,820",2021-10-26
NGXGROUP,19.65,20.05,19.10,20.05,0.4,254,"12,744,927",2021-10-27
NGXGROUP,20.05,20.10,20.00,20.0,-0.05,87,"2,059,528",2021-10-28
NGXGROUP,20.0,20.10,19.20,20.0,0.0,111,"2,571,894",2021-10-29
NGXGROUP,20.0,20.20,19.95,20.0,0.0,120,"4,786,166",2021-11-01
NGXGROUP,20.0,20.00,19.50,20.0,0.0,90,"4,953,158",2021-11-02
NGXGROUP,20.0,19.90,19.40,19.4,-0.6,112,"4,095,801",2021-11-03
NGXGROUP,19.4,19.30,18.55,18.55,-0.85,143,"8,084,697",2021-11-04
NGXGROUP,18.55,17.80,17.75,17.75,-0.8,136,"2,422,816",2021-11-05
NGXGROUP,17.75,18.50,18.05,18.35,0.6,134,"6,918,374",2021-11-08
NGXGROUP,18.35,19.25,19.20,19.2,0.85,86,"1,617,270",2021-11-09
NGXGROUP,19.2,19.10,18.50,18.5,-0.7,108,"4,590,501",2021-11-10
NGXGROUP,18.5,18.65,18.05,18.1,-0.4,70,"2,065,491",2021-11-11
NGXGROUP,18.1,18.20,18.10,18.1,0.0,46,"3,684,563",2021-11-12
NGXGROUP,18.1,18.20,18.15,18.15,0.05,88,"1,625,524",2021-11-15
NGXGROUP,18.15,18.75,18.00,18.00,-0.15,102,"2,303,834",2021-11-16
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-09-30
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-04
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-06
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-08
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-11
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-12
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-13
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-14
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-18
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-20
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-21
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-22
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-25
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-26
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-27
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-28
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-10-29
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-01
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-02
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-03
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-04
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-05
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-08
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-09
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-10
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-11
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-12
NIGERINS [MRF],0.2,--,--,0.2,,0,--,2021-11-15
NIGERINS [MRF],0.2,--,--,0.20,,0,--,2021-11-16
NNFM,8.55,--,--,8.55,,18,"81,172",2021-09-30
NNFM,8.55,7.70,7.70,7.7,-0.85,5,"242,220",2021-10-04
NNFM,7.7,8.20,8.20,8.2,0.5,2,"101,500",2021-10-06
NNFM,8.2,--,--,8.2,,2,"5,596",2021-10-08
NNFM,8.2,--,--,8.2,,7,"4,254",2021-10-11
NNFM,8.2,--,--,8.2,,3,"2,088",2021-10-12
NNFM,8.2,8.00,8.00,8.0,-0.2,10,"241,270",2021-10-13
NNFM,8.0,--,--,8.0,,7,"12,539",2021-10-14
NNFM,8.0,--,--,8.0,,8,"63,974",2021-10-18
