company,open,High,Low,close,change,Trades,Volume,Date
ZENITHBANK,22,22.15,21.95,22.05,0.05,449,"12,689,130",2021-03-29
ZENITHBANK,22.05,22.95,22.1,22.6,0.55,433,"24,907,735",2021-03-30
ZENITHBANK,22.6,22.65,22.5,22.55,-0.05,370,"22,137,440",2021-03-31
ZENITHBANK,22.55,22.55,22.05,22.1,-0.45,317,"6,717,730",2021-04-01
ZENITHBANK,22.55,22.55,22.05,22.1,-0.45,317,"6,717,730",2021-04-02
ZENITHBANK,22.55,22.55,22.05,22.1,-0.45,317,"6,717,730",2021-04-05
ZENITHBANK,22.1,22.05,21.85,21.9,-0.2,396,"16,586,858",2021-04-06
ZENITHBANK,21.9,21.9,20.65,21,-0.9,763,"55,030,501",2021-04-07
ZENITHBANK,21,21.9,21.2,21.8,0.8,339,"17,584,133",2021-04-08
ZENITHBANK,21.8,22,21.8,21.95,0.15,295,"7,332,058",2021-04-09
ZENITHBANK,23.7,--,--,--,,46,"357,002",14 Sep 21
ZENITHBANK,23.7,--,--,--,,46,"357,002",14 Sep 21
